               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096687,            0.026003,            0.022692,          0.00020241,            0.014706,          5.8737e-06,          5.8737e-07,             0.11157,            0.023256,            0.026369,              0.0005,              0.0005,              0.0955
                   1,            0.081023,            0.026112,             0.01982,           0.0001163,            0.014706,          4.4483e-06,          4.4483e-07,             0.10629,            0.023173,            0.025655,           0.0010098,           0.0010098,             0.09091
                   2,            0.078832,            0.025814,            0.019114,                   0,                   0,                   0,                   0,            0.099418,            0.023463,            0.024382,           0.0015188,           0.0015188,            0.086319
                   3,            0.079883,            0.026138,            0.019287,          0.00049587,            0.058824,          9.9764e-05,           2.858e-05,            0.092957,              0.0234,            0.021351,           0.0020264,           0.0020264,            0.081726
                   4,             0.06848,            0.024485,             0.01688,             0.03955,            0.073529,            0.015132,           0.0022104,            0.084214,            0.024014,            0.018783,            0.002532,            0.002532,            0.077132
                   5,            0.066772,            0.025621,            0.015616,             0.65599,             0.16176,            0.076514,            0.025568,              0.0773,            0.023702,            0.016684,            0.003035,            0.003035,            0.072535
                   6,            0.063511,            0.026339,            0.013006,           0.0043209,             0.10294,           0.0024019,          0.00045573,            0.096731,            0.021118,            0.015575,           0.0035348,           0.0035348,            0.067935
                   7,            0.068455,             0.02276,            0.012253,           0.0016983,             0.51471,           0.0019153,          0.00031363,             0.10175,            0.018927,            0.014245,           0.0040308,           0.0040308,            0.063331
                   8,             0.07449,            0.020736,            0.012323,           0.0012137,             0.16176,          0.00088798,          0.00011668,             0.10129,            0.018083,            0.013447,           0.0045224,           0.0045224,            0.058722
                   9,            0.072133,            0.021983,             0.01134,             0.01582,             0.33824,            0.016412,           0.0032753,              0.1101,            0.014828,            0.011973,           0.0050092,           0.0050092,            0.054109
                  10,            0.083946,             0.01802,            0.012013,            0.030948,             0.22059,            0.019129,            0.006529,            0.098076,            0.016952,            0.012112,           0.0054904,           0.0054904,             0.04949
                  11,            0.064868,            0.018224,           0.0093864,            0.030448,             0.11765,            0.025257,           0.0055268,            0.095643,            0.017013,            0.011536,           0.0059655,           0.0059655,            0.044866
                  12,            0.068982,            0.017677,             0.01008,            0.040869,             0.26471,            0.038097,            0.005673,             0.10383,               0.014,           0.0095254,            0.006434,            0.006434,            0.040234
                  13,            0.079442,            0.017085,           0.0099718,             0.64067,             0.16176,             0.14986,            0.034275,             0.10461,            0.013111,            0.008108,           0.0068954,           0.0068954,            0.035595
                  14,            0.082567,            0.016213,            0.010048,             0.16307,             0.44118,             0.28314,            0.065387,            0.098588,            0.013644,           0.0070253,           0.0073492,           0.0073492,            0.030949
                  15,            0.072393,            0.016529,           0.0075522,              0.5671,             0.63105,             0.45933,             0.13801,            0.097021,            0.013575,           0.0075971,           0.0077947,           0.0077947,            0.026295
                  16,            0.067823,            0.016415,           0.0075084,             0.55736,             0.63235,             0.42222,             0.12985,            0.091919,            0.013929,           0.0050298,           0.0082315,           0.0082315,            0.021632
                  17,            0.063687,             0.01629,           0.0059775,             0.55736,             0.63235,             0.42222,             0.12985,            0.091919,            0.013929,           0.0050298,           0.0086592,           0.0086592,            0.016959
                  18,            0.074453,            0.015968,           0.0048764,             0.49716,             0.63235,             0.41346,             0.14112,            0.096793,             0.01247,           0.0045944,           0.0090772,           0.0090772,            0.012277
                  19,            0.075147,            0.015353,           0.0051029,             0.49897,             0.95241,             0.64784,             0.15514,            0.089564,            0.013345,           0.0042345,           0.0093083,           0.0093083,           0.0093083
                  20,            0.062659,            0.016168,           0.0051392,             0.54206,             0.89706,             0.62319,             0.24221,             0.09334,            0.012241,           0.0040078,           0.0093083,           0.0093083,           0.0093083
                  21,            0.070202,             0.01533,           0.0047683,             0.58211,             0.99028,             0.87442,              0.2533,            0.089761,            0.012246,           0.0040571,           0.0092361,           0.0092361,           0.0092361
                  22,            0.063905,            0.014639,           0.0049228,             0.58211,             0.99028,             0.87442,              0.2533,            0.089761,            0.012246,           0.0040571,           0.0091606,           0.0091606,           0.0091606
                  23,            0.073161,            0.013571,           0.0043302,             0.56036,                   1,             0.78028,             0.24846,            0.095938,            0.010967,           0.0041955,           0.0090821,           0.0090821,           0.0090821
                  24,            0.069356,            0.012979,           0.0045518,             0.53784,                   1,              0.7681,             0.27824,            0.094126,            0.011098,           0.0036953,           0.0090004,           0.0090004,           0.0090004
                  25,            0.066033,            0.012738,           0.0037544,             0.45417,             0.82353,             0.54627,             0.14916,            0.085347,            0.012769,            0.003581,           0.0089159,           0.0089159,           0.0089159
                  26,             0.06896,            0.013822,           0.0043082,             0.56511,                   1,             0.79856,             0.25132,              0.0917,            0.010665,           0.0033424,           0.0088284,           0.0088284,           0.0088284
                  27,            0.067365,            0.012339,           0.0037282,             0.56511,                   1,             0.79856,             0.25132,              0.0917,            0.010665,           0.0033424,           0.0087382,           0.0087382,           0.0087382
                  28,            0.075661,            0.010238,           0.0032417,             0.56684,                   1,             0.78888,             0.22874,            0.099405,           0.0088913,           0.0040148,           0.0086452,           0.0086452,           0.0086452
                  29,             0.07155,            0.011826,           0.0035735,             0.59691,                   1,             0.88147,             0.26572,            0.092486,           0.0097644,           0.0048344,           0.0085497,           0.0085497,           0.0085497
                  30,            0.067398,            0.012473,           0.0031956,             0.62305,                   1,             0.98018,             0.47803,            0.081578,            0.011831,           0.0053858,           0.0084516,           0.0084516,           0.0084516
                  31,            0.064304,             0.01212,           0.0037602,             0.67365,             0.96662,             0.73067,             0.31315,            0.089364,           0.0096124,            0.004168,           0.0083511,           0.0083511,           0.0083511
                  32,            0.066435,             0.01195,           0.0030048,             0.67365,             0.96662,             0.73067,             0.31315,            0.089364,           0.0096124,            0.004168,           0.0082483,           0.0082483,           0.0082483
                  33,            0.062045,            0.011425,           0.0025775,             0.68086,             0.97059,             0.73505,             0.37562,            0.091915,           0.0090545,           0.0043854,           0.0081433,           0.0081433,           0.0081433
                  34,            0.057574,            0.009964,           0.0025276,             0.69291,             0.97059,             0.73475,              0.3445,            0.084831,            0.010006,           0.0048206,           0.0080362,           0.0080362,           0.0080362
                  35,            0.064273,            0.011197,           0.0033842,             0.69416,             0.98529,             0.73635,             0.29697,            0.081452,            0.010199,           0.0036156,            0.007927,            0.007927,            0.007927
                  36,            0.064322,            0.010544,           0.0031827,             0.71927,                   1,             0.74548,             0.28539,            0.080096,           0.0098712,           0.0048854,            0.007816,            0.007816,            0.007816
